2025-12-30T19:18:38.685059 INFO Script started at 2025-12-30_191838
2025-12-30T19:18:38.685450 INFO Running in FULL mode
2025-12-30T19:18:38.685776 INFO Log file: /workspaces/-cpes_csv/cpes/logs/cpes_download_2025-12-30_191838.log
2025-12-30T19:18:38.685897 INFO Fetching initial page to determine total CPE count...
2025-12-30T19:18:38.869268 INFO Total CPE entries available: 1536474
2025-12-30T19:18:38.869468 INFO Number of pages to download: 154
2025-12-30T19:23:01.005787 INFO Downloading page 34/154 (startIndex: 330000, attempt: 1/5)
2025-12-30T19:23:01.919566 INFO Page 34/154 downloaded successfully, entries: 10000
2025-12-30T19:23:08.919977 INFO Downloading page 35/154 (startIndex: 340000, attempt: 1/5)
2025-12-30T19:23:10.172147 INFO Page 35/154 downloaded successfully, entries: 10000
2025-12-30T19:23:17.172583 INFO Downloading page 36/154 (startIndex: 350000, attempt: 1/5)
2025-12-30T19:23:18.366595 INFO Page 36/154 downloaded successfully, entries: 10000
2025-12-30T19:23:25.366988 INFO Downloading page 37/154 (startIndex: 360000, attempt: 1/5)
2025-12-30T19:23:26.349409 INFO Page 37/154 downloaded successfully, entries: 10000
2025-12-30T19:23:33.349872 INFO Downloading page 38/154 (startIndex: 370000, attempt: 1/5)
2025-12-30T19:23:34.276486 INFO Page 38/154 downloaded successfully, entries: 10000
2025-12-30T19:23:41.276891 INFO Downloading page 39/154 (startIndex: 380000, attempt: 1/5)
2025-12-30T19:23:42.629036 INFO Page 39/154 downloaded successfully, entries: 10000
2025-12-30T19:23:49.629448 INFO Downloading page 40/154 (startIndex: 390000, attempt: 1/5)
2025-12-30T19:23:50.455785 INFO Page 40/154 downloaded successfully, entries: 10000
2025-12-30T19:23:57.456233 INFO Downloading page 41/154 (startIndex: 400000, attempt: 1/5)
2025-12-30T19:23:58.371698 INFO Page 41/154 downloaded successfully, entries: 10000
2025-12-30T19:24:05.372169 INFO Downloading page 42/154 (startIndex: 410000, attempt: 1/5)
2025-12-30T19:24:06.332043 INFO Page 42/154 downloaded successfully, entries: 10000
2025-12-30T19:24:13.332428 INFO Downloading page 43/154 (startIndex: 420000, attempt: 1/5)
2025-12-30T19:24:14.258548 INFO Page 43/154 downloaded successfully, entries: 10000
2025-12-30T19:24:21.258937 INFO Downloading page 44/154 (startIndex: 430000, attempt: 1/5)
2025-12-30T19:24:22.361197 INFO Page 44/154 downloaded successfully, entries: 10000
2025-12-30T19:24:29.361643 INFO Downloading page 45/154 (startIndex: 440000, attempt: 1/5)
2025-12-30T19:24:30.249566 INFO Page 45/154 downloaded successfully, entries: 10000
2025-12-30T19:24:37.249964 INFO Downloading page 46/154 (startIndex: 450000, attempt: 1/5)
2025-12-30T19:24:39.489591 INFO Page 46/154 downloaded successfully, entries: 10000
2025-12-30T19:24:46.490010 INFO Downloading page 47/154 (startIndex: 460000, attempt: 1/5)
2025-12-30T19:24:47.357712 INFO Page 47/154 downloaded successfully, entries: 10000
2025-12-30T19:24:54.358180 INFO Downloading page 48/154 (startIndex: 470000, attempt: 1/5)
2025-12-30T19:24:55.252909 INFO Page 48/154 downloaded successfully, entries: 10000
2025-12-30T19:25:02.253302 INFO Downloading page 49/154 (startIndex: 480000, attempt: 1/5)
2025-12-30T19:25:03.850110 INFO Page 49/154 downloaded successfully, entries: 10000
2025-12-30T19:25:10.850558 INFO Downloading page 50/154 (startIndex: 490000, attempt: 1/5)
2025-12-30T19:25:11.749155 INFO Page 50/154 downloaded successfully, entries: 10000
2025-12-30T19:25:18.749567 INFO Downloading page 51/154 (startIndex: 500000, attempt: 1/5)
2025-12-30T19:25:19.645233 INFO Page 51/154 downloaded successfully, entries: 10000
2025-12-30T19:25:26.645672 INFO Downloading page 52/154 (startIndex: 510000, attempt: 1/5)
2025-12-30T19:25:27.736054 INFO Page 52/154 downloaded successfully, entries: 10000
2025-12-30T19:25:34.736470 INFO Downloading page 53/154 (startIndex: 520000, attempt: 1/5)
2025-12-30T19:25:35.953780 INFO Page 53/154 downloaded successfully, entries: 10000
2025-12-30T19:25:42.954210 INFO Downloading page 54/154 (startIndex: 530000, attempt: 1/5)
2025-12-30T19:25:43.790242 INFO Page 54/154 downloaded successfully, entries: 10000
2025-12-30T19:25:50.790678 INFO Downloading page 55/154 (startIndex: 540000, attempt: 1/5)
2025-12-30T19:25:51.709201 INFO Page 55/154 downloaded successfully, entries: 10000
2025-12-30T19:25:58.709638 INFO Downloading page 56/154 (startIndex: 550000, attempt: 1/5)
2025-12-30T19:25:59.643783 INFO Page 56/154 downloaded successfully, entries: 10000
2025-12-30T19:26:06.644217 INFO Downloading page 57/154 (startIndex: 560000, attempt: 1/5)
2025-12-30T19:26:07.667584 INFO Page 57/154 downloaded successfully, entries: 10000
2025-12-30T19:26:14.668028 INFO Downloading page 58/154 (startIndex: 570000, attempt: 1/5)
2025-12-30T19:26:15.799710 INFO Page 58/154 downloaded successfully, entries: 10000
2025-12-30T19:26:22.800113 INFO Downloading page 59/154 (startIndex: 580000, attempt: 1/5)
